"hist","proj","run","rcp","gcm","cutoff"
0.5,0.727272727272727,"mid century","RCP2.6","MPI-ESM-MR",">6 m"
0.5,0.636363636363636,"end century","RCP2.6","MPI-ESM-MR",">6 m"
0.409090909090909,0.590909090909091,"mid century","RCP2.6","MPI-ESM-MR",">7 m"
0.409090909090909,0.590909090909091,"end century","RCP2.6","MPI-ESM-MR",">7 m"
0.181818181818182,0.5,"mid century","RCP2.6","MPI-ESM-MR",">8 m"
0.181818181818182,0.545454545454545,"end century","RCP2.6","MPI-ESM-MR",">8 m"
0.181818181818182,0.409090909090909,"mid century","RCP2.6","MPI-ESM-MR",">9 m"
0.181818181818182,0.409090909090909,"end century","RCP2.6","MPI-ESM-MR",">9 m"
0.0454545454545455,0.227272727272727,"mid century","RCP2.6","MPI-ESM-MR",">10 m"
0.0454545454545455,0.363636363636364,"end century","RCP2.6","MPI-ESM-MR",">10 m"
0.5,0.863636363636364,"mid century","RCP4.5","MPI-ESM-MR",">6 m"
0.5,0.954545454545455,"end century","RCP4.5","MPI-ESM-MR",">6 m"
0.272727272727273,0.818181818181818,"mid century","RCP4.5","MPI-ESM-MR",">7 m"
0.272727272727273,0.954545454545455,"end century","RCP4.5","MPI-ESM-MR",">7 m"
0.181818181818182,0.727272727272727,"mid century","RCP4.5","MPI-ESM-MR",">8 m"
0.181818181818182,0.954545454545455,"end century","RCP4.5","MPI-ESM-MR",">8 m"
0.136363636363636,0.681818181818182,"mid century","RCP4.5","MPI-ESM-MR",">9 m"
0.136363636363636,0.909090909090909,"end century","RCP4.5","MPI-ESM-MR",">9 m"
0.0454545454545455,0.545454545454545,"mid century","RCP4.5","MPI-ESM-MR",">10 m"
0.0454545454545455,0.863636363636364,"end century","RCP4.5","MPI-ESM-MR",">10 m"
0.5,0.954545454545455,"mid century","RCP8.5","MPI-ESM-MR",">6 m"
0.5,0.954545454545455,"end century","RCP8.5","MPI-ESM-MR",">6 m"
0.318181818181818,0.954545454545455,"mid century","RCP8.5","MPI-ESM-MR",">7 m"
0.318181818181818,0.954545454545455,"end century","RCP8.5","MPI-ESM-MR",">7 m"
0.181818181818182,0.909090909090909,"mid century","RCP8.5","MPI-ESM-MR",">8 m"
0.181818181818182,0.954545454545455,"end century","RCP8.5","MPI-ESM-MR",">8 m"
0.181818181818182,0.863636363636364,"mid century","RCP8.5","MPI-ESM-MR",">9 m"
0.181818181818182,0.954545454545455,"end century","RCP8.5","MPI-ESM-MR",">9 m"
0.136363636363636,0.772727272727273,"mid century","RCP8.5","MPI-ESM-MR",">10 m"
0.136363636363636,0.954545454545455,"end century","RCP8.5","MPI-ESM-MR",">10 m"
0.304347826086957,0.952380952380952,"mid century","RCP2.6","IPSL-CM5A-MR",">6 m"
0.304347826086957,0.5,"end century","RCP2.6","IPSL-CM5A-MR",">6 m"
0.0869565217391304,0.571428571428571,"mid century","RCP2.6","IPSL-CM5A-MR",">7 m"
