"hist","proj","run","rcp","gcm","cutoff"
0.454545454545455,0.772727272727273,"Mid century","RCP2.6","MPI-ESM-MR",">6 m"
0.454545454545455,0.681818181818182,"End century","RCP2.6","MPI-ESM-MR",">6 m"
0.409090909090909,0.681818181818182,"Mid century","RCP2.6","MPI-ESM-MR",">7 m"
0.409090909090909,0.590909090909091,"End century","RCP2.6","MPI-ESM-MR",">7 m"
0.318181818181818,0.5,"Mid century","RCP2.6","MPI-ESM-MR",">8 m"
0.318181818181818,0.5,"End century","RCP2.6","MPI-ESM-MR",">8 m"
0.181818181818182,0.363636363636364,"Mid century","RCP2.6","MPI-ESM-MR",">9 m"
0.181818181818182,0.454545454545455,"End century","RCP2.6","MPI-ESM-MR",">9 m"
0.0454545454545455,0.272727272727273,"Mid century","RCP2.6","MPI-ESM-MR",">10 m"
0.0454545454545455,0.363636363636364,"End century","RCP2.6","MPI-ESM-MR",">10 m"
0.5,0.818181818181818,"Mid century","RCP4.5","MPI-ESM-MR",">6 m"
0.5,0.954545454545455,"End century","RCP4.5","MPI-ESM-MR",">6 m"
0.272727272727273,0.818181818181818,"Mid century","RCP4.5","MPI-ESM-MR",">7 m"
0.272727272727273,0.954545454545455,"End century","RCP4.5","MPI-ESM-MR",">7 m"
0.181818181818182,0.772727272727273,"Mid century","RCP4.5","MPI-ESM-MR",">8 m"
0.181818181818182,0.954545454545455,"End century","RCP4.5","MPI-ESM-MR",">8 m"
0.0454545454545455,0.727272727272727,"Mid century","RCP4.5","MPI-ESM-MR",">9 m"
0.0454545454545455,0.954545454545455,"End century","RCP4.5","MPI-ESM-MR",">9 m"
0,0.590909090909091,"Mid century","RCP4.5","MPI-ESM-MR",">10 m"
0,0.909090909090909,"End century","RCP4.5","MPI-ESM-MR",">10 m"
0.5,0.954545454545455,"Mid century","RCP8.5","MPI-ESM-MR",">6 m"
0.5,0.954545454545455,"End century","RCP8.5","MPI-ESM-MR",">6 m"
0.318181818181818,0.909090909090909,"Mid century","RCP8.5","MPI-ESM-MR",">7 m"
0.318181818181818,0.954545454545455,"End century","RCP8.5","MPI-ESM-MR",">7 m"
0.181818181818182,0.909090909090909,"Mid century","RCP8.5","MPI-ESM-MR",">8 m"
0.181818181818182,0.954545454545455,"End century","RCP8.5","MPI-ESM-MR",">8 m"
0.136363636363636,0.909090909090909,"Mid century","RCP8.5","MPI-ESM-MR",">9 m"
0.136363636363636,0.954545454545455,"End century","RCP8.5","MPI-ESM-MR",">9 m"
0.136363636363636,0.772727272727273,"Mid century","RCP8.5","MPI-ESM-MR",">10 m"
0.136363636363636,0.954545454545455,"End century","RCP8.5","MPI-ESM-MR",">10 m"
0.347826086956522,0.80952380952381,"Mid century","RCP2.6","IPSL-CM5A-MR",">6 m"
0.347826086956522,0.5,"End century","RCP2.6","IPSL-CM5A-MR",">6 m"
0.0434782608695652,0.619047619047619,"Mid century","RCP2.6","IPSL-CM5A-MR",">7 m"
0.0434782608695652,0.409090909090909,"End century","RCP2.6","IPSL-CM5A-MR",">7 m"
0,0.333333333333333,"Mid century","RCP2.6","IPSL-CM5A-MR",">8 m"
0,0.227272727272727,"End century","RCP2.6","IPSL-CM5A-MR",">8 m"
0,0.142857142857143,"Mid century","RCP2.6","IPSL-CM5A-MR",">9 m"
0,0.136363636363636,"End century","RCP2.6","IPSL-CM5A-MR",">9 m"
0,0.0476190476190476,"Mid century","RCP2.6","IPSL-CM5A-MR",">10 m"
0,0.0454545454545455,"End century","RCP2.6","IPSL-CM5A-MR",">10 m"
0.347826086956522,1,"Mid century","RCP4.5","IPSL-CM5A-MR",">6 m"
0.347826086956522,0.954545454545455,"End century","RCP4.5","IPSL-CM5A-MR",">6 m"
0.0869565217391304,0.857142857142857,"Mid century","RCP4.5","IPSL-CM5A-MR",">7 m"
0.0869565217391304,0.909090909090909,"End century","RCP4.5","IPSL-CM5A-MR",">7 m"
0,0.714285714285714,"Mid century","RCP4.5","IPSL-CM5A-MR",">8 m"
0,0.681818181818182,"End century","RCP4.5","IPSL-CM5A-MR",">8 m"
0,0.523809523809524,"Mid century","RCP4.5","IPSL-CM5A-MR",">9 m"
0,0.272727272727273,"End century","RCP4.5","IPSL-CM5A-MR",">9 m"
0,0.285714285714286,"Mid century","RCP4.5","IPSL-CM5A-MR",">10 m"
