month,year,rainSD,tempSD
1,1997,0.621391767,-0.487997469
2,1997,-0.257540662,-0.378852604
3,1997,-0.775512254,-0.121012946
4,1997,0.112263162,-0.621539575
5,1997,-0.882083551,-0.307072493
6,1997,0.054055978,-0.317467101
7,1997,-0.0692084,-0.241584155
8,1997,-0.027820888,0.049983876
9,1997,0.051599678,0.02684132
10,1997,0.17600417,0.017629942
11,1997,-0.102126418,-0.131280163
12,1997,-0.721120349,-0.065525109
1,1998,-0.9201784,-0.250251419
2,1998,-0.370607044,-0.105599617
3,1998,0.103225109,-0.157537554
4,1998,-0.197587674,0.003688583
5,1998,-0.944520294,-0.196178063
6,1998,-0.279075602,-0.286455487
7,1998,-0.09559297,-0.029194436
8,1998,0.006312887,-0.252306072
9,1998,0.089067154,-0.265470074
10,1998,0.222391221,-0.369843122
11,1998,0.046297186,-0.445955407
12,1998,-0.057549282,-0.35503189
1,1999,0.00648318,-0.246367805
2,1999,-1.056964908,0.074839705
3,1999,-1.396989274,0.391161432
4,1999,-0.742756997,0.378524211
5,1999,-0.588432996,0.032124155
6,1999,0.466093023,-0.157816197
7,1999,-0.101917063,0.005634424
8,1999,-0.030468218,-0.003424292
9,1999,-0.069604709,-0.313579465
10,1999,-0.032735927,-0.465586423
11,1999,0.217181806,0.019349645
12,1999,1.40360396,0.104441369
1,2000,2.856120514,-0.840879853
2,2000,1.0169577,-0.543963777
3,2000,0.873700455,-0.174131677
4,2000,0.708182965,-0.109322609
5,2000,0.080877791,-0.239697831
6,2000,-0.233003112,-0.062279217
7,2000,-0.105838936,0.038896361
8,2000,-0.020459186,0.039125744
9,2000,0.030991817,0.163127552
10,2000,-0.055740585,-0.061531961
11,2000,-0.063812211,0.442550052
12,2000,0.425733795,-0.007218774
1,2001,-0.428546759,0.104469956
2,2001,-1.234589028,0.186031287
3,2001,-0.42549725,0.210424077
4,2001,1.567111675,-0.074503314
5,2001,2.137920929,-0.25670174
6,2001,-0.090564894,0.009761167
7,2001,-0.057066174,-0.124034874
8,2001,0.043672842,-0.185214595
9,2001,0.185542797,-0.499222014
10,2001,0.414331682,-0.221879782
11,2001,0.83167215,-0.069958916
12,2001,0.916559123,-0.477892773
1,2002,-0.504956633,-0.173371788
2,2002,-0.68123065,0.028905896
3,2002,-1.019164205,-0.108208364
4,2002,-0.59065544,0.140127732
5,2002,-0.238914301,0.369846945
6,2002,0.29244041,-0.050977902
